"pos","name","date","time","map"
"1","APKIS","24/07/15","11.886","bloodjumps3"
"1","Caboom","06/09/21","35.356","bloodjumps4"
"1","dMnAiOuSDnUaSd","14/01/21","21.067","bloodjumps5"
"1","mazze","04/12/21","34.003","bluehardjumps1"
"1","n00k!e","23/10/14","19.859","bluehardjumps2"
"1","Killa","13/02/18","20.773","bluehardjumps3"
"1","Killa","28/10/18","28.037","bluehardjumps4"
"1","Killa","02/01/13","10.532","bluejumps1"
"1","prd","11/08/18","16.466","bluejumps2"
"1","dMnAiOuSDnUaSd","19/01/21","10.501","bodyjumps"
"1","n00k!e","21/07/14","37.866","br_jumping"
"1","APKIS","14/05/18","12.050","bridgejump"
"1","Goblin","10/10/18","17.783","brudny1o1"
"1","n00k!e","23/10/14","105.194","brunixone_b9"
"1","mazze","15/03/21","33.569","bubjump1"
"1","dMnAiOuSDnUaSd","06/12/20","38.901","bubjump2"
"1","yogurt","30/03/14","4.825","bubrun"
"1","Killa","14/04/18","27.383","bubspeed1"
"1","Killa","06/11/20","4.891","burn"
"1","Lofas","06/03/14","23.766","bustajump"
"1","Killa","29/09/19","14.499","bw"
"1","dMnAiOuSDnUaSd","03/01/21","64.331","bw2"
"1","Goblin","25/04/18","56.898","bw3"
"1","Killa","03/10/20","40.070","bw3easy"
"1","OpkeZ","22/01/21","32.641","bw4"
"1","neoxotb","17/02/20","9.177","byxjumpin1"
"1","Killa","02/10/18","30.436","byxjumpin2"
"1","APKIS","16/11/18","27.524","c1"
"1","Goblin","03/02/20","26.720","c1articwarehouse"
"1","Killa","27/10/18","26.937","c1jumps1"
"1","Killa","25/03/19","11.664","c1jumps10"
"1","Nykzi","30/04/21","8.856","c1jumps11a"
"1","Goblin","19/07/19","21.916","c1jumps12"
"1","Goblin","24/08/18","12.331","c1jumps13"
"1","dMnAiOuSDnUaSd","25/01/21","17.794","c1jumps14"
"1","KroPP","25/08/13","36.401","c1jumps15"
"1","Killa","12/06/19","9.169","c1jumps16"
"1","Goblin","19/01/19","17.324","c1jumps17"
"1","n00k!e","21/12/15","26.981","c1jumps18"
"1","Killa","14/05/18","24.535","c1jumps19"
"1","Killa","13/01/21","8.258","c1jumps2"
"1","KroPP","12/01/15","29.999","c1jumps20"
"1","Killa","16/02/18","10.956","c1jumps21"
"1","APKIS","11/05/20","25.694","c1jumps22"
"1","KroPP","11/01/15","28.341","c1jumps23"
"1","Killa","01/05/19","20.491","c1jumps24"
"1","prd","04/02/18","14.971","c1jumps25"
"1","dMnAiOuSDnUaSd","11/07/20","11.975","c1jumps26"
"1","n00k!e","19/05/14","15.268","c1jumps3"
"1","mazze","03/02/21","5.874","c1jumps4"
"1","Goblin","21/10/17","23.768","c1jumps5"
"1","Killa","30/09/18","7.077","c1jumps6"
"1","Killa","13/01/18","20.306","c1jumps7"
"1","Killa","16/01/18","13.326","c1jumps8"
"1","n00k!e","14/03/14","12.792","c1jumps9"
"1","KroPP","02/06/14","44.256","c1mm"
"1","dMnAiOuSDnUaSd","25/01/21","19.188","c1speed24"
"1","mazze","11/12/20","9.935","cagejump"
"1","n00k!e","29/01/14","34.596","calijump1"
"1","KroPP","13/06/14","31.525","canyonjump"
"1","Killa","26/10/19","8.581","carmjumpz1"
"1","Killa","29/06/21","6.845","carmjumpz2"
"1","Killa","18/02/21","16.032","carmjumpz3"
"1","neoxotb","11/03/18","49.584","carmjumpz4"
"1","prd","11/08/18","23.245","carmjumpz5"
"1","qTr","04/07/18","39.110","carmjumpz6"
"1","Killa","14/12/20","7.530","carmjumpz7"
"1","Goblin","06/09/18","39.844","carmjumpz8"
"1","Killa","14/12/20","9.675","carnage_jumps1"
"1","Killa","14/05/20","10.657","carnage_jumps2"
"1","n00k!e","02/07/13","17.338","carnage_jumps3"
"1","APKIS","25/09/17","14.829","carnage_jumps4"
"1","Killa","17/04/19","6.432","carnage_jumps5"
"1","Killa","25/08/21","6.328","carnage_jumps6"
"1","mazze","19/11/21","8.101","carnage_jumps7"
"1","APKIS","24/12/17","18.913","carnage_jumps8"
"1","prd","04/12/14","21.001","carnage_jumps9"
"1","Lofas","03/12/15","198.387","castlejumps"
"1","Lofas","06/07/13","34.140","castro1"
"1","n00k!e","13/05/13","28.804","castro2"
"1","Killa","15/12/18","19.997","castro3"
"1","dMnAiOuSDnUaSd","22/06/21","13.137","castro4"
"1","Goblin","17/12/18","28.762","castro_league_1"
"1","mazze","04/10/21","21.400","castrocross"
"1","dMnAiOuSDnUaSd","03/09/20","38.801","castrocross2"
"1","Castro","26/08/18","39.995","castrocross3"
"1","ziomek","19/02/20","24.446","castrocrosseat"
"1","neoxotb","25/08/21","28.502","castroeat"
"1","Killa","26/02/19","19.495","castroeat2"
"1","santher","27/10/18","48.542","castroeat3"
"1","Lofas","25/01/16","19.625","castroeat4"
"1","yogurt","08/01/18","37.868","castroeat7"
"1","mazze","25/08/21","91.968","castroenduro1"
"1","Killa","07/01/19","21.216","castrojump1"
"1","APKIS","30/09/20","13.198","castronew1"
"1","mazze","31/07/20","17.592","castronew2"
