"","pos","name","date","time","map"
"141576","13","ace","09/02/15","24.098","slipmap41"
"81834","7","ace","09/12/16","87.759","slipmap43"
"52398","4","ace","26/10/16","89.406","slipmap44"
"71892","6","ace","09/02/17","21.263","slipmap45"
"111708","10","ace","14/09/17","16.736","slipmap46b"
"81837","7","ace","09/10/15","20.629","slipmap47"
"81840","7","ace","15/12/17","29.067","slipmap6"
"27061","1","ace","19/09/17","13.993","slipmap7a"
"52406","4","ace","23/11/15","13.186","slipmap8"
"121676","11","ace","07/02/14","51.537","slipmap9b"
"52409","4","ace","20/11/16","43.505","slowjump1"
"81849","7","ace","01/12/17","30.727","slyskyjump"
"101770","9","ace","03/02/14","24.974","smalljumpin"
"27079","1","ace","06/11/15","2.540","smaug4"
"27081","1","ace","01/10/17","18.155","smaug6"
"62038","5","ace","05/07/17","12.604","smaug8"
"101785","9","ace","30/05/14","53.354","snakej7"
"27090","1","ace","16/12/16","13.359","snakej9a"
"52437","4","ace","17/05/15","12.024","snakerace1edit"
"62051","5","ace","28/11/15","24.241","sonicjump"
"81876","7","ace","21/11/16","31.771","sonicjump5"
"27973","1","ace","29/12/16","60.272","sonicjump9"
"81879","7","ace","23/11/16","35.642","souljumps"
"131654","12","ace","10/08/15","64.666","spec2tjm1"
"42980","3","ace","27/06/16","59.985","speed"
"111751","10","ace","31/10/15","22.240","spiderjump2"
"71944","6","ace","01/04/17","24.034","spjump10"
"42991","3","ace","08/04/17","12.906","spjump17"
"62073","5","ace","09/11/17","9.813","spjump18"
"81900","7","ace","19/04/15","40.043","spjump24"
"191373","18","ace","06/06/14","55.491","spjump26"
"62084","5","ace","09/02/16","94.790","spjump28"
"81907","7","ace","31/01/17","31.400","spjump30"
"43009","3","ace","10/12/16","20.027","spjump31a"
"62089","5","ace","12/12/16","60.219","spjump32b"
"52481","4","ace","06/07/15","78.328","spjump34"
"81915","7","ace","21/04/15","12.008","spjump6"
"91877","8","ace","06/01/15","36.449","spjump7"
"81917","7","ace","17/04/15","9.248","spjump8"
"81921","7","ace","14/10/15","5.195","splashjumps3"
"52495","4","ace","13/02/16","3.674","spskate1"
"52497","4","ace","09/09/17","3.308","spskate2"
"62146","5","ace","03/05/15","2.189","spskate3"
"28032","1","ace","19/05/17","4.088","spydajump1"
"71991","6","ace","10/02/15","5.570","spylevel1"
"62158","5","ace","07/02/17","21.365","spyskip1"
"91900","8","ace","30/07/16","13.176","spyskip3"
"43045","3","ace","25/02/16","31.194","spytrick1"
"43046","3","ace","11/02/16","16.535","spytrick2"
"34716","2","ace","15/08/17","3.636","spyzjump1"
"28051","1","ace","17/10/17","17.627","spyzjump10"
"62168","5","ace","29/11/16","63.772","spyzjump16"
"43051","3","ace","25/10/17","6.634","spyzjump2"
"81950","7","ace","25/08/17","7.209","spyzjump3"
"62171","5","ace","02/05/17","7.337","spyzjump4"
"81954","7","ace","14/03/15","8.486","spyzjump7"
"91915","8","ace","02/10/15","5.984","spyzjump8"
"72017","6","ace","19/09/17","27.878","sspeedmap1"
"62179","5","ace","29/11/16","38.105","st0k3djump1"
"62180","5","ace","02/11/15","15.928","st0rm1"
"111827","10","ace","17/11/14","21.038","st0rm2"
"121785","11","ace","16/02/16","13.920","stiffjump1"
"52541","4","ace","26/03/17","10.826","stiffjump3"
"101883","9","ace","12/02/18","9.219","stiffjump4"
"62190","5","ace","30/03/16","34.262","stilljump1"
"34757","2","ace","16/09/17","69.976","stormjump2"
"121791","11","ace","01/04/16","86.614","stormjump3"
"43077","3","ace","03/06/17","11.606","strafejumping"
"91937","8","ace","19/12/17","9.657","strrace"
"121797","11","ace","13/08/15","5.199","strramps"
"52554","4","ace","13/03/15","32.943","stubbsyjump1"
"101894","9","ace","03/11/14","35.167","stubbsyjump10"
"62202","5","ace","18/08/15","193.804","stubbsyjump11"
"81985","7","ace","26/08/15","58.666","stubbsyjump15"
"52563","4","ace","14/10/16","63.079","stubbsyjump18"
"62210","5","ace","14/10/16","64.684","stubbsyjump19"
"43093","3","ace","13/06/15","38.695","stubbsyjump2"
"62212","5","ace","27/03/16","59.498","stubbsyjump20"
"52567","4","ace","20/06/14","69.153","stubbsyjump21"
"151669","14","ace","15/10/16","64.244","stubbsyjump22"
"43097","3","ace","30/08/17","32.393","stubbsyjump23"
"81994","7","ace","05/04/16","47.460","stubbsyjump24"
"151673","14","ace","13/04/15","163.728","stubbsyjump26"
"52573","4","ace","18/10/15","127.683","stubbsyjump27"
"62220","5","ace","14/04/17","46.994","stubbsyjump28"
"121819","11","ace","13/06/15","36.292","stubbsyjump3"
"101915","9","ace","28/11/16","233.532","stubbsyjump30"
"62226","5","ace","13/06/15","564.211","stubbsyjump34"
"34807","2","ace","19/03/16","388.762","stubbsyjump35"
"52583","4","ace","23/03/17","305.222","stubbsyjump37"
"62230","5","ace","05/08/15","801.897","stubbsyjump39"
"62231","5","ace","24/06/15","54.179","stubbsyjump4"
"91966","8","ace","31/07/15","782.203","stubbsyjump40"
"62234","5","ace","02/11/15","1171.561","stubbsyjump42"
"52593","4","ace","19/10/15","18.672","stubbsyjump6"
"62240","5","ace","20/02/16","35.957","stubbsyjump8"
"52597","4","ace","31/03/17","50.982","stubbsyjumpvendm2"
"82020","7","ace","05/12/16","27.568","talljump3"
"101931","9","ace","12/03/15","17.163","talljump4"
